2019-04-17 19:27:06,516 p=1186 u=vibakar |  - roles/tomcat was created successfully
2019-04-18 14:03:08,851 p=13534 u=vibakar |  TASK [tomcat : copy bookstore-app dist to tomcat] ********************************************************************************************
2019-04-18 14:03:13,884 p=13534 u=vibakar |  ok: [local]
2019-04-18 14:03:13,946 p=13534 u=vibakar |  TASK [tomcat : start tomcat] *****************************************************************************************************************
2019-04-18 14:03:14,239 p=13534 u=vibakar |  changed: [local]
2019-04-18 14:03:14,241 p=13534 u=vibakar |  PLAY RECAP ***********************************************************************************************************************************
2019-04-18 14:03:14,241 p=13534 u=vibakar |  local                      : ok=6    changed=3    unreachable=0    failed=0   
2019-04-18 14:05:45,254 p=14574 u=vibakar |  PLAY [local] *********************************************************************************************************************************
2019-04-18 14:05:45,267 p=14574 u=vibakar |  TASK [Gathering Facts] ***********************************************************************************************************************
2019-04-18 14:05:46,591 p=14574 u=vibakar |  ok: [local]
2019-04-18 14:05:46,652 p=14574 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *******************************************************************************************
2019-04-18 14:05:47,040 p=14574 u=vibakar |  changed: [local]
2019-04-18 14:05:47,120 p=14574 u=vibakar |  TASK [tomcat : Unarchive tomcat] *************************************************************************************************************
2019-04-18 14:05:48,133 p=14574 u=vibakar |  changed: [local]
2019-04-18 14:05:48,188 p=14574 u=vibakar |  TASK [tomcat : configure tomcat port] ********************************************************************************************************
2019-04-18 14:05:48,613 p=14574 u=vibakar |  changed: [local]
2019-04-18 14:05:48,669 p=14574 u=vibakar |  TASK [tomcat : copy bookstore-app dist to tomcat] ********************************************************************************************
2019-04-18 14:05:53,201 p=14574 u=vibakar |  changed: [local]
2019-04-18 14:05:53,252 p=14574 u=vibakar |  TASK [tomcat : start tomcat] *****************************************************************************************************************
2019-04-18 14:05:53,536 p=14574 u=vibakar |  changed: [local]
2019-04-18 14:05:53,539 p=14574 u=vibakar |  PLAY RECAP ***********************************************************************************************************************************
2019-04-18 14:05:53,539 p=14574 u=vibakar |  local                      : ok=6    changed=5    unreachable=0    failed=0   
2019-04-18 14:08:20,548 p=15690 u=vibakar |  PLAY [local] *********************************************************************************************************************************
2019-04-18 14:08:20,560 p=15690 u=vibakar |  TASK [Gathering Facts] ***********************************************************************************************************************
2019-04-18 14:08:21,874 p=15690 u=vibakar |  ok: [local]
2019-04-18 14:08:21,931 p=15690 u=vibakar |  TASK [tomcat : create a folder for placing tomcat] *******************************************************************************************
2019-04-18 14:08:22,271 p=15690 u=vibakar |  ok: [local]
2019-04-18 14:08:22,348 p=15690 u=vibakar |  TASK [tomcat : Unarchive tomcat] *************************************************************************************************************
2019-04-18 14:08:23,464 p=15690 u=vibakar |  changed: [local]
2019-04-18 14:08:23,519 p=15690 u=vibakar |  TASK [tomcat : configure tomcat port] ********************************************************************************************************
2019-04-18 14:08:23,966 p=15690 u=vibakar |  changed: [local]
2019-04-18 14:08:24,020 p=15690 u=vibakar |  TASK [tomcat : copy bookstore-app dist to tomcat] ********************************************************************************************
2019-04-18 14:08:28,873 p=15690 u=vibakar |  ok: [local]
2019-04-18 14:08:28,929 p=15690 u=vibakar |  TASK [tomcat : start tomcat] *****************************************************************************************************************
2019-04-18 14:08:29,208 p=15690 u=vibakar |  changed: [local]
2019-04-18 14:08:29,211 p=15690 u=vibakar |  PLAY RECAP ***********************************************************************************************************************************
2019-04-18 14:08:29,211 p=15690 u=vibakar |  local                      : ok=6    changed=3    unreachable=0    failed=0   
